                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.26637,                0.94865,                0.87014,                0.51258,                0.67497,                0.66021,                0.64786,                0.25638,                 1.2511,                0.86087,              0.0033252,              0.0033252,              0.0033252
                      1,                0.28687,                0.99377,                0.87748,                0.46706,                0.66305,                0.61478,                0.60272,                0.26181,                  1.498,                0.86477,              0.0065267,              0.0065267,              0.0065267
                      2,                0.31058,                 1.1146,                0.88269,                0.43928,                0.59083,                0.57694,                0.55851,                0.32827,                 1.7089,                0.91741,              0.0095962,              0.0095962,              0.0095962
                      3,                0.34056,                 1.2726,                 0.8955,                0.42015,                 0.5968,                0.56002,                0.54463,                0.31046,                 1.7031,                0.89932,               0.009406,               0.009406,               0.009406
                      4,                0.34126,                 1.2762,                0.89559,                0.45321,                0.58911,                0.56723,                0.54837,                0.32839,                 1.7155,                0.91713,               0.009406,               0.009406,               0.009406
                      5,                0.34138,                 1.2486,                0.89876,                 0.4618,                0.63633,                0.62827,                0.60937,                0.31039,                 1.4626,                0.90504,               0.009208,               0.009208,               0.009208
                      6,                0.33817,                 1.2235,                0.89526,                0.47102,                0.50419,                0.54026,                0.52438,                0.30143,                 1.8022,                 0.8938,                0.00901,                0.00901,                0.00901
                      7,                0.33363,                 1.1997,                 0.8942,                0.49238,                0.62796,                0.63247,                0.61266,                0.31203,                 1.4415,                0.90478,               0.008812,               0.008812,               0.008812
                      8,                0.32998,                 1.1839,                0.89206,                0.46809,                0.64364,                0.61788,                0.60204,                0.29614,                  1.499,                0.89293,               0.008614,               0.008614,               0.008614
                      9,                0.32799,                 1.1626,                0.89068,                 0.4875,                0.51362,                0.49901,                0.48448,                0.30525,                 2.2017,                0.89759,               0.008416,               0.008416,               0.008416
                     10,                  0.323,                 1.1379,                0.89039,                0.50548,                0.66497,                0.64322,                0.62709,                0.29649,                  1.355,                0.89023,               0.008218,               0.008218,               0.008218
